E 0x107c27700 0x107c27849 1129177.739745000
X 0x107c27700 0x107c27849 1129177.739746000
X 0x107c27810 0x107c27676 1129177.739746000
E 0x107c273d0 0x107c27641 1129177.739747000
X 0x107c273d0 0x107c27641 1129177.739747000
E 0x107c27350 0x107c2764d 1129177.739747000
X 0x107c27350 0x107c2764d 1129177.739748000
E 0x107c27810 0x107c27676 1129177.739748000
E 0x107c27700 0x107c27849 1129177.739749000
X 0x107c27700 0x107c27849 1129177.739749000
X 0x107c27810 0x107c27676 1129177.739749000
E 0x107c273d0 0x107c27641 1129177.739750000
X 0x107c273d0 0x107c27641 1129177.739750000
E 0x107c27350 0x107c2764d 1129177.739751000
X 0x107c27350 0x107c2764d 1129177.739751000
E 0x107c27810 0x107c27676 1129177.739751000
E 0x107c27700 0x107c27849 1129177.739752000
X 0x107c27700 0x107c27849 1129177.739752000
X 0x107c27810 0x107c27676 1129177.739753000
E 0x107c273d0 0x107c27641 1129177.739753000
X 0x107c273d0 0x107c27641 1129177.739753000
E 0x107c27350 0x107c2764d 1129177.739754000
X 0x107c27350 0x107c2764d 1129177.739754000
E 0x107c27810 0x107c27676 1129177.739755000
E 0x107c27700 0x107c27849 1129177.739755000
X 0x107c27700 0x107c27849 1129177.739755000
X 0x107c27810 0x107c27676 1129177.739756000
E 0x107c273d0 0x107c27641 1129177.739756000
X 0x107c273d0 0x107c27641 1129177.739757000
E 0x107c27350 0x107c2764d 1129177.739757000
X 0x107c27350 0x107c2764d 1129177.739757000
E 0x107c27810 0x107c27676 1129177.739758000
E 0x107c27700 0x107c27849 1129177.739758000
X 0x107c27700 0x107c27849 1129177.739759000
X 0x107c27810 0x107c27676 1129177.739759000
E 0x107c273d0 0x107c27641 1129177.739760000
X 0x107c273d0 0x107c27641 1129177.739771000
E 0x107c27350 0x107c2764d 1129177.739771000
X 0x107c27350 0x107c2764d 1129177.739771000
E 0x107c27810 0x107c27676 1129177.739772000
E 0x107c27700 0x107c27849 1129177.739772000
X 0x107c27700 0x107c27849 1129177.739772000
X 0x107c27810 0x107c27676 1129177.739773000
E 0x107c273d0 0x107c27641 1129177.739774000
X 0x107c273d0 0x107c27641 1129177.739774000
E 0x107c27350 0x107c2764d 1129177.739774000
X 0x107c27350 0x107c2764d 1129177.739775000
E 0x107c27810 0x107c27676 1129177.739775000
E 0x107c27700 0x107c27849 1129177.739775000
X 0x107c27700 0x107c27849 1129177.739776000
X 0x107c27810 0x107c27676 1129177.739776000
E 0x107c273d0 0x107c27641 1129177.739777000
X 0x107c273d0 0x107c27641 1129177.739777000
E 0x107c27350 0x107c2764d 1129177.739777000
X 0x107c27350 0x107c2764d 1129177.739778000
E 0x107c27810 0x107c27676 1129177.739778000
E 0x107c27700 0x107c27849 1129177.739779000
X 0x107c27700 0x107c27849 1129177.739779000
X 0x107c27810 0x107c27676 1129177.739779000
E 0x107c273d0 0x107c27641 1129177.739780000
X 0x107c273d0 0x107c27641 1129177.739780000
E 0x107c27350 0x107c2764d 1129177.739781000
X 0x107c27350 0x107c2764d 1129177.739781000
E 0x107c27810 0x107c27676 1129177.739781000
E 0x107c27700 0x107c27849 1129177.739782000
X 0x107c27700 0x107c27849 1129177.739782000
X 0x107c27810 0x107c27676 1129177.739783000
E 0x107c273d0 0x107c27641 1129177.739783000
X 0x107c273d0 0x107c27641 1129177.739783000
E 0x107c27350 0x107c2764d 1129177.739784000
X 0x107c27350 0x107c2764d 1129177.739784000
E 0x107c27810 0x107c27676 1129177.739785000
E 0x107c27700 0x107c27849 1129177.739785000
X 0x107c27700 0x107c27849 1129177.739785000
X 0x107c27810 0x107c27676 1129177.739786000
E 0x107c273d0 0x107c27641 1129177.739786000
X 0x107c273d0 0x107c27641 1129177.739787000
E 0x107c27350 0x107c2764d 1129177.739787000
X 0x107c27350 0x107c2764d 1129177.739787000
E 0x107c27810 0x107c27676 1129177.739788000
E 0x107c27700 0x107c27849 1129177.739788000
X 0x107c27700 0x107c27849 1129177.739789000
X 0x107c27810 0x107c27676 1129177.739789000
E 0x107c273d0 0x107c27641 1129177.739790000
X 0x107c273d0 0x107c27641 1129177.739790000
E 0x107c27350 0x107c2764d 1129177.739790000
X 0x107c27350 0x107c2764d 1129177.739791000
E 0x107c27810 0x107c27676 1129177.739791000
E 0x107c27700 0x107c27849 1129177.739791000
X 0x107c27700 0x107c27849 1129177.739792000
X 0x107c27810 0x107c27676 1129177.739792000
E 0x107c273d0 0x107c27641 1129177.739793000
X 0x107c273d0 0x107c27641 1129177.739793000
E 0x107c27350 0x107c2764d 1129177.739794000
X 0x107c27350 0x107c2764d 1129177.739794000
E 0x107c27810 0x107c27676 1129177.739794000
E 0x107c27700 0x107c27849 1129177.739795000
X 0x107c27700 0x107c27849 1129177.739795000
X 0x107c27810 0x107c27676 1129177.739795000
E 0x107c273d0 0x107c27641 1129177.739796000
X 0x107c273d0 0x107c27641 1129177.739796000
E 0x107c27350 0x107c2764d 1129177.739797000
X 0x107c27350 0x107c2764d 1129177.739797000
E 0x107c27810 0x107c27676 1129177.739798000
E 0x107c27700 0x107c27849 1129177.739798000
X 0x107c27700 0x107c27849 1129177.739798000
X 0x107c27810 0x107c27676 1129177.739799000
E 0x107c273d0 0x107c27641 1129177.739799000
X 0x107c273d0 0x107c27641 1129177.739800000
E 0x107c27350 0x107c2764d 1129177.739800000
X 0x107c27350 0x107c2764d 1129177.739800000
E 0x107c27810 0x107c27676 1129177.739801000
E 0x107c27700 0x107c27849 1129177.739801000
X 0x107c27700 0x107c27849 1129177.739802000
X 0x107c27810 0x107c27676 1129177.739802000
E 0x107c273d0 0x107c27641 1129177.739802000
X 0x107c273d0 0x107c27641 1129177.739803000
E 0x107c27350 0x107c2764d 1129177.739803000
X 0x107c27350 0x107c2764d 1129177.739804000
E 0x107c27810 0x107c27676 1129177.739804000
E 0x107c27700 0x107c27849 1129177.739804000
